User Input,Correct FAQ,Actual FAQ returned (Top result),Correct FAQ in top 3,Top 3 returned FAQ with Confidence Scores,Associated URL
Who can enjoy Vodafone rewards ,Who can get VeryMe Rewards?,Who can get VeryMe Rewards? ,Y,"{'Who can get VeryMe Rewards? ': 0.03321, 'Can I get a discount? ': 0.01807, 'What happens on the day my number moves to Vodafone? ': 0.01016}",https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Who can have access to very me rewards ,Who can get VeryMe Rewards?,Can I get a discount? ,Y,"{'Can I get a discount? ': 0.02971, 'Who can get VeryMe Rewards? ': 0.0215, ""I think I've been a victim of fraud "": 0.01936}",https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Whos got access to very me rewards,Who can get VeryMe Rewards?,Who can get VeryMe Rewards? ,Y,"{'Who can get VeryMe Rewards? ': 0.02732, 'Can I get a discount? ': 0.02606, 'How do I get proof of purchase? ': 0.01798}",https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Am I able to get VeryMe rewards,Who can get VeryMe Rewards?,Who can get VeryMe Rewards? ,Y,"{'Who can get VeryMe Rewards? ': 0.06488, 'Can I get a discount? ': 0.04322, 'Where can I find more information about Pay as you go 1? ': 0.01513}",https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Who is very me avalible for ,Who can get VeryMe Rewards?,ERROR: list index out of range,ERROR: list index out of range,ERROR: list index out of range,https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Who can use veryme rewards ,Who can get VeryMe Rewards?,Who can get VeryMe Rewards? ,Y,"{'Who can get VeryMe Rewards? ': 0.05558, 'Can I get a discount? ': 0.01787, 'How do I check my voicemail? ': 0.01563}",https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Who's got access to VeryMe,Who can get VeryMe Rewards?,Who can get VeryMe Rewards? ,Y,"{'Who can get VeryMe Rewards? ': 0.02657, 'Can I get a discount? ': 0.02258, ""I think I've been a victim of fraud "": 0.01908}",https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Is VeryMe rewards avaliable to me,Who can get VeryMe Rewards?,Who can get VeryMe Rewards? ,Y,"{'Who can get VeryMe Rewards? ': 0.04657, 'Can I get a discount? ': 0.01223}",https://support.vodafone.co.uk/Account/Discounts-VeryMe-Rewards/1456888402/Who-can-get-VeryMe-Rewards.htm
Why have I been declined for a credit agreement,Why have I been declined for a credit agreement?,What happens on the day my number moves to Vodafone? ,Y,"{'What happens on the day my number moves to Vodafone? ': 0.03468, 'Why have I been declined for a credit agreement? ': 0.03379, ""I think I've been a victim of fraud "": 0.01444}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
I have good credit why have I been declined ,Why have I been declined for a credit agreement?,What happens on the day my number moves to Vodafone? ,Y,"{'What happens on the day my number moves to Vodafone? ': 0.02594, 'Why have I been declined for a credit agreement? ': 0.02356, 'I want to find help or information about VOXI ': 0.01078}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
"Ive been declined for a credit agreement, why is that",Why have I been declined for a credit agreement?,What happens on the day my number moves to Vodafone? ,Y,"{'What happens on the day my number moves to Vodafone? ': 0.03332, 'Why have I been declined for a credit agreement? ': 0.03032, 'I want to find help or information about VOXI ': 0.01164}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
Why was I declined after my credit check,Why have I been declined for a credit agreement?,Why have I been declined for a credit agreement? ,Y,"{'Why have I been declined for a credit agreement? ': 0.05399, 'What happens on the day my number moves to Vodafone? ': 0.02024, ""I think I've been a victim of fraud "": 0.01278}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
Why did I fail my credit check,Why have I been declined for a credit agreement?,Why have I been declined for a credit agreement? ,Y,"{'Why have I been declined for a credit agreement? ': 0.02904, 'I want to find help or information about VOXI ': 0.01047, 'Where can I find more information about Pay as you go 1? ': 0.01029}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
Why did I get declined for a phone on credit,Why have I been declined for a credit agreement?,Why have I been declined for a credit agreement? ,Y,"{'Why have I been declined for a credit agreement? ': 0.02944, 'What happens on the day my number moves to Vodafone? ': 0.0232, ""I think I've been a victim of fraud "": 0.01455}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
Why'd I get declined for a credit agreement with Vodafone,Why have I been declined for a credit agreement?,Why have I been declined for a credit agreement? ,Y,"{'Why have I been declined for a credit agreement? ': 0.11642, 'What happens on the day my number moves to Vodafone? ': 0.02927, ""I think I've been a victim of fraud "": 0.01775}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
Why did I get refused for a credit agreement ,Why have I been declined for a credit agreement?,What happens on the day my number moves to Vodafone? ,Y,"{'What happens on the day my number moves to Vodafone? ': 0.02393, 'Why have I been declined for a credit agreement? ': 0.01993, ""I think I've been a victim of fraud "": 0.01402}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
I was refused for a credit agreement and want to know why,Why have I been declined for a credit agreement?,What happens on the day my number moves to Vodafone? ,Y,"{'What happens on the day my number moves to Vodafone? ': 0.0195, 'Why have I been declined for a credit agreement? ': 0.01794, 'I want to find help or information about VOXI ': 0.01603}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
Why was I refused for a credit agreement ,Why have I been declined for a credit agreement?,What happens on the day my number moves to Vodafone? ,Y,"{'What happens on the day my number moves to Vodafone? ': 0.02257, 'Why have I been declined for a credit agreement? ': 0.02076, 'I want to find help or information about VOXI ': 0.01226}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
Why cant I get a phone on credit with you,Why have I been declined for a credit agreement?,"My phone is blocked, how do I get it working again? ",Y,"{'My phone is blocked, how do I get it working again? ': 0.01931, 'Why have I been declined for a credit agreement? ': 0.01817, 'I want to get an eSIM, but I can’t get a confirmation code to log in ': 0.0149}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
Unable to get a credit agreement with Vodafone,Why have I been declined for a credit agreement?,Why have I been declined for a credit agreement? ,Y,"{'Why have I been declined for a credit agreement? ': 0.06126, ""I think I've been a victim of fraud "": 0.01861, 'How do I get proof of purchase? ': 0.0185}",https://support.vodafone.co.uk/Joining-leaving/Joining-Vodafone/1450592552/Why-have-I-been-declined-for-a-credit-agreement.htm
How do I set up my home phone,How do I set up my home phone?,How do I set up my home phone? ,Y,"{'How do I set up my home phone? ': 0.03331, 'What do the lights mean on my router? ': 0.03286, 'How do I reset the password on my router? ': 0.03197}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
I need help setting up my home phone,How do I set up my home phone?,I want help with caller display on my Home phone ,N,"{'I want help with caller display on my Home phone ': 0.0369, 'What do the lights mean on my router? ': 0.0263, 'How do I reset the password on my router? ': 0.02565}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
How do I set up my landline ,How do I set up my home phone?,I want help with caller display on my Home phone ,Y,"{'I want help with caller display on my Home phone ': 0.02311, 'How do I set up my home phone? ': 0.02127, 'How do I manage call diverts? ': 0.02107}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
Help setting up my ladline phone ,How do I set up my home phone?,How do I transfer content from one phone to another? ,Y,"{'How do I transfer content from one phone to another? ': 0.02326, 'How do I set up my home phone? ': 0.01987, 'How do I set up a Dual SIM phone? ': 0.01811}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
Setting my home phone up ,How do I set up my home phone?,I want help with caller display on my Home phone ,N,"{'I want help with caller display on my Home phone ': 0.0247, 'What do the lights mean on my router? ': 0.02326, 'How do I reset the password on my router? ': 0.02263}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
Help with setting up my landline,How do I set up my home phone?,How do I manage call diverts? ,Y,"{'How do I manage call diverts? ': 0.02147, 'I want help with caller display on my Home phone ': 0.02043, 'How do I set up my home phone? ': 0.01897}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
How do I get my home phone set up,How do I set up my home phone?,How do I set up my home phone? ,Y,"{'How do I set up my home phone? ': 0.03939, 'What do the lights mean on my router? ': 0.03047, 'Can I use my own router with Vodafone broadband? ': 0.02995}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
Do I need to do anything to get my home phone working,How do I set up my home phone?,How do I set up my home phone? ,Y,"{'How do I set up my home phone? ': 0.02341, 'I want help with caller display on my Home phone ': 0.02009, 'Where can I find more information about Pay as you go 1? ': 0.01468}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
Setting up a landline ,How do I set up my home phone?,How do I manage call diverts? ,N,"{'How do I manage call diverts? ': 0.01937, 'I want help with caller display on my Home phone ': 0.01604, 'What do the lights mean on my router? ': 0.01409}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
Help getting my home phone connected ,How do I set up my home phone?,I want help with caller display on my Home phone ,Y,"{'I want help with caller display on my Home phone ': 0.03607, 'How do I set up my home phone? ': 0.02574, 'How do I check my Vodafone Broadband speed? ': 0.02145}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
Can you help me set up my home phone ,How do I set up my home phone?,What do the lights mean on my router? ,Y,"{'What do the lights mean on my router? ': 0.02626, 'How do I set up my home phone? ': 0.02583, 'How do I reset the password on my router? ': 0.02556}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
Setting up a home phone,How do I set up my home phone?,I want help with caller display on my Home phone ,N,"{'I want help with caller display on my Home phone ': 0.03376, 'What do the lights mean on my router? ': 0.02194, 'How do I reset the password on my router? ': 0.02134}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
Steps for getting my home phone set up,How do I set up my home phone?,What do the lights mean on my router? ,N,"{'What do the lights mean on my router? ': 0.0221, 'How do I reset the password on my router? ': 0.02203, 'Can I use my own router with Vodafone broadband? ': 0.02201}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1829588002/How-do-I-set-up-my-home-phone.htm
How do I check the devices connected to my WiFi?,How do I check the devices connected to my WiFi?,My devices can’t connect to my Vodafone Hub through WiFi ,N,"{'My devices can’t connect to my Vodafone Hub through WiFi ': 0.06986, 'How do I check my Vodafone Broadband speed? ': 0.06786, ""What's the difference between internet sync speed and download speed? "": 0.06762}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
Can I see what devices are connected to my wifi,How do I check the devices connected to my WiFi?,I’m having issues connecting my Super WiFi Booster ,N,"{'I’m having issues connecting my Super WiFi Booster ': 0.02587, 'How do I manage my Vodafone router settings? ': 0.02513, 'What is WiFi Calling? ': 0.01796}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
Can I see whats connected to my WiFi,How do I check the devices connected to my WiFi?,How do I manage my Vodafone router settings? ,Y,"{'How do I manage my Vodafone router settings? ': 0.0276, 'What’s Guest WiFi and how can I manage it? ': 0.022, 'How do I check the devices connected to my WiFi? ': 0.0196}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
Where can I see what's connected to my WiFi,How do I check the devices connected to my WiFi?,What’s Guest WiFi and how can I manage it? ,Y,"{'What’s Guest WiFi and how can I manage it? ': 0.04518, 'How do I check the devices connected to my WiFi? ': 0.0384, 'How do I manage my Vodafone router settings? ': 0.03683}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
How can I check what devices are connected to my wifi,How do I check the devices connected to my WiFi?,My devices can’t connect to my Vodafone Hub through WiFi ,N,"{'My devices can’t connect to my Vodafone Hub through WiFi ': 0.06058, 'How do I check my Vodafone Broadband speed? ': 0.05883, ""What's the difference between internet sync speed and download speed? "": 0.05861}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
Anywhere I can see what's connected to my WiFi at the moment,How do I check the devices connected to my WiFi?,What’s Guest WiFi and how can I manage it? ,Y,"{'What’s Guest WiFi and how can I manage it? ': 0.02151, 'How do I manage my Vodafone router settings? ': 0.02056, 'How do I check the devices connected to my WiFi? ': 0.02045}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
Check what devices are connected to my WiFi,How do I check the devices connected to my WiFi?,My devices can’t connect to my Vodafone Hub through WiFi ,N,"{'My devices can’t connect to my Vodafone Hub through WiFi ': 0.03905, 'How do I check my Vodafone Broadband speed? ': 0.0379, ""What's the difference between internet sync speed and download speed? "": 0.03776}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
Can I see what devices are on my WiFi,How do I check the devices connected to my WiFi?,What is WiFi Calling? ,Y,"{'What is WiFi Calling? ': 0.01914, 'How do I check the devices connected to my WiFi? ': 0.01695, 'Why am I seeing the wrong number when using iMessage or FaceTime? ': 0.01281}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
What devices are connected to my WiFi,How do I check the devices connected to my WiFi?,What's the difference between internet sync speed and download speed? ,Y,"{""What's the difference between internet sync speed and download speed? "": 0.01995, 'I’m having issues connecting my Super WiFi Booster ': 0.0168, 'How do I check the devices connected to my WiFi? ': 0.01665}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
Whats connected to my WiFi ,How do I check the devices connected to my WiFi?,My devices can’t connect to my Vodafone Hub through WiFi ,N,"{'My devices can’t connect to my Vodafone Hub through WiFi ': 0.02733, 'I’m having issues connecting my Super WiFi Booster ': 0.02531, ""What's the difference between internet sync speed and download speed? "": 0.0227}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
Where can I check whats on my WiFi,How do I check the devices connected to my WiFi?,How do I check the devices connected to my WiFi? ,Y,"{'How do I check the devices connected to my WiFi? ': 0.04153, 'How do I manage my Vodafone router settings? ': 0.03672, 'I’m having issues connecting my Super WiFi Booster ': 0.03663}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
Checking whats connected to my WiFi currently ,How do I check the devices connected to my WiFi?,How do I check my Vodafone Broadband speed? ,N,"{'How do I check my Vodafone Broadband speed? ': 0.03109, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.03104, ""What's the difference between internet sync speed and download speed? "": 0.03097}",https://support.vodafone.co.uk/Broadband/Broadband-app/1733851312/How-do-I-check-the-devices-connected-to-my-WiFi.htm
How do I find my SIM number or EID?,How do I find my SIM number or EID?,How do I get my IMEI number? ,Y,"{'How do I get my IMEI number? ': 0.15231, 'How do I find my SIM number or EID? ': 0.06065, 'I don’t have a SIM card, can I still move to eSIM? ': 0.04684}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
Where do I find my SIM number,How do I find my SIM number or EID?,How do I get my IMEI number? ,Y,"{'How do I get my IMEI number? ': 0.15672, 'How do I find my SIM number or EID? ': 0.05956, 'How do I set up a Dual SIM phone? ': 0.02378}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
Where do I find my EID,How do I find my SIM number or EID?,How do I find my SIM number or EID? ,Y,"{'How do I find my SIM number or EID? ': 0.06242, 'How do I get my IMEI number? ': 0.0592, 'I want to get an eSIM, but I can’t get a confirmation code to log in ': 0.02541}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
Where on my SIM is the SIM number,How do I find my SIM number or EID?,How do I find my SIM number or EID? ,Y,"{'How do I find my SIM number or EID? ': 0.14094, 'How do I get my IMEI number? ': 0.13186, 'How do I set up a Dual SIM phone? ': 0.01368}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
Help to find sim card number,How do I find my SIM number or EID?,How do I get my IMEI number? ,Y,"{'How do I get my IMEI number? ': 0.06108, 'How do I find my SIM number or EID? ': 0.05959, 'I don’t have a SIM card, can I still move to eSIM? ': 0.01931}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
How can I see my EID ,How do I find my SIM number or EID?,How do I find my SIM number or EID? ,Y,"{'How do I find my SIM number or EID? ': 0.05202, 'How do I manage my dual-SIM phone? ': 0.0316, 'I want to get an eSIM, but I can’t get a confirmation code to log in ': 0.03143}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
Whats the EID of my phone,How do I find my SIM number or EID?,How do I find my SIM number or EID? ,Y,"{'How do I find my SIM number or EID? ': 0.03032, 'I want to get an eSIM, but I can’t get a confirmation code to log in ': 0.02064, 'What happens if I delete my eSIM? ': 0.02055}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
Where can I see my EID,How do I find my SIM number or EID?,How do I find my SIM number or EID? ,Y,"{'How do I find my SIM number or EID? ': 0.0815, 'Why am I seeing the wrong number when using iMessage or FaceTime? ': 0.03212, 'How do I manage my dual-SIM phone? ': 0.02119}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
Where's my EID number,How do I find my SIM number or EID?,How do I find my SIM number or EID? ,Y,"{'How do I find my SIM number or EID? ': 0.03479, 'How do I get my IMEI number? ': 0.02199, 'I want to get an eSIM, but I can’t get a confirmation code to log in ': 0.0207}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
Where's my SIM card number,How do I find my SIM number or EID?,How do I find my SIM number or EID? ,Y,"{'How do I find my SIM number or EID? ': 0.16843, 'How do I get my IMEI number? ': 0.13578, 'I don’t have a SIM card, can I still move to eSIM? ': 0.02169}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
I need to find my EID,How do I find my SIM number or EID?,How do I find my SIM number or EID? ,Y,"{'How do I find my SIM number or EID? ': 0.04144, 'I want to get an eSIM, but I can’t get a confirmation code to log in ': 0.03257, 'I don’t have a SIM card, can I still move to eSIM? ': 0.03251}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
Can you tell me where my EID number would be,How do I find my SIM number or EID?,How do I find my SIM number or EID? ,Y,"{'How do I find my SIM number or EID? ': 0.01841, 'I want to get an eSIM, but I can’t get a confirmation code to log in ': 0.01572, 'I don’t have a SIM card, can I still move to eSIM? ': 0.01569}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1481779212/How-do-I-find-my-SIM-number-or-EID.htm
Get EID number,"I want to get an eSIM, but I can�t get a confirmation code to log in",How do I find my SIM number or EID? ,N,"{'How do I find my SIM number or EID? ': 0.03119, 'I want to get an eSIM, but I can’t get a confirmation code to log in ': 0.02004, 'I don’t have a SIM card, can I still move to eSIM? ': 0.01977}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526155072/I-want-to-get-an-eSIM-but-I-can-t-get-a-confirmation-code-to-log-in.htm
Get the number on my SIM card,"I don�t have a SIM card, can I still move to eSIM?",How do I find my SIM number or EID? ,N,"{'How do I find my SIM number or EID? ': 0.11371, 'I don’t have a SIM card, can I still move to eSIM? ': 0.02025, 'I want to get an eSIM, but I can’t get a confirmation code to log in ': 0.0194}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526155172/I-don-t-have-a-SIM-card-can-I-still-move-to-eSIM.htm
How do I change the length of time before a call goes to voicemail?,How do I change the length of time before a call goes to voicemail?,How do I change the length of time before a call goes to voicemail? ,Y,"{'How do I change the length of time before a call goes to voicemail? ': 0.07063, 'How do I check my voicemail? ': 0.03239, 'Can I recover a deleted voicemail? ': 0.03139}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
Can I change how long my phone rings before it goes to voicemail,How do I change the length of time before a call goes to voicemail?,How do I change the length of time before a call goes to voicemail? ,Y,"{'How do I change the length of time before a call goes to voicemail? ': 0.15869, 'How do I check my voicemail? ': 0.05874, 'Can I recover a deleted voicemail? ': 0.05859}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
change how long my mobile is set to ring before going to voicemail,How do I change the length of time before a call goes to voicemail?,How do I change the length of time before a call goes to voicemail? ,Y,"{'How do I change the length of time before a call goes to voicemail? ': 0.16732, 'How do I check my voicemail? ': 0.03704, 'Can I get Visual Voicemail? ': 0.03348}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
Change to time before my phone goes to voicemail,How do I change the length of time before a call goes to voicemail?,How do I check my voicemail? ,N,"{'How do I check my voicemail? ': 0.04559, 'Can I recover a deleted voicemail? ': 0.0454, 'Can I get Visual Voicemail? ': 0.04365}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
"Extend the amount of time my phone rings for, before it goes to voicemail",How do I change the length of time before a call goes to voicemail?,How do I change the length of time before a call goes to voicemail? ,Y,"{'How do I change the length of time before a call goes to voicemail? ': 0.14833, 'How do I check my voicemail? ': 0.02875, 'Can I recover a deleted voicemail? ': 0.02657}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
How can I change how long my phone rings before it goes to voicemail,How do I change the length of time before a call goes to voicemail?,How do I change the length of time before a call goes to voicemail? ,Y,"{'How do I change the length of time before a call goes to voicemail? ': 0.141, 'How do I check my voicemail? ': 0.0493, 'Can I recover a deleted voicemail? ': 0.04917}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
Change voicemail ringing time,How do I change the length of time before a call goes to voicemail?,How do I change the length of time before a call goes to voicemail? ,Y,"{'How do I change the length of time before a call goes to voicemail? ': 0.11003, 'How do I manage call diverts? ': 0.04408, 'How do I check my voicemail? ': 0.0383}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
"How do I change how long my phone rings for, before it goes to voicemail ",How do I change the length of time before a call goes to voicemail?,How do I change the length of time before a call goes to voicemail? ,Y,"{'How do I change the length of time before a call goes to voicemail? ': 0.16202, 'How do I check my voicemail? ': 0.05053, 'Can I recover a deleted voicemail? ': 0.0504}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
Help with changing voicemail ringing time,How do I change the length of time before a call goes to voicemail?,How do I change the length of time before a call goes to voicemail? ,Y,"{'How do I change the length of time before a call goes to voicemail? ': 0.0811, 'How do I manage call diverts? ': 0.03904, 'How do I check my voicemail? ': 0.02926}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
What's the process for adjusting the time before calls divert to voicemail,How do I change the length of time before a call goes to voicemail?,How do I change the length of time before a call goes to voicemail? ,Y,"{'How do I change the length of time before a call goes to voicemail? ': 0.02855, 'Can I recover a deleted voicemail? ': 0.02562, 'Can I get Visual Voicemail? ': 0.02536}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
Can I increase the time before calls are routed to voicemail,How do I change the length of time before a call goes to voicemail?,Can I recover a deleted voicemail? ,Y,"{'Can I recover a deleted voicemail? ': 0.0536, 'Can I get Visual Voicemail? ': 0.05305, 'How do I change the length of time before a call goes to voicemail? ': 0.03357}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
How do I customize the delay before calls are sent to voicemail,How do I change the length of time before a call goes to voicemail?,How do I manage call diverts? ,N,"{'How do I manage call diverts? ': 0.04098, 'Can I recover a deleted voicemail? ': 0.02739, 'How do I check my voicemail? ': 0.01951}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
What steps do I take to adjust the length of time before calls go to voicemail,How do I change the length of time before a call goes to voicemail?,How do I change the length of time before a call goes to voicemail? ,Y,"{'How do I change the length of time before a call goes to voicemail? ': 0.03046, 'How do I check my voicemail? ': 0.02684, 'Can I recover a deleted voicemail? ': 0.02603}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047832/How-do-I-change-the-length-of-time-before-a-call-goes-to-voicemail.htm
Can I get visual voicemail,Can I get Visual Voicemail?,Can I recover a deleted voicemail? ,Y,"{'Can I recover a deleted voicemail? ': 0.03675, 'How do I check my voicemail? ': 0.03499, 'Can I get Visual Voicemail? ': 0.03474}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1544815672/Can-I-get-Visual-Voicemail.htm
Is Visual Voicemail an option for me,Can I get Visual Voicemail?,Can I recover a deleted voicemail? ,N,"{'Can I recover a deleted voicemail? ': 0.02183, 'How do I check my voicemail? ': 0.0212, 'How do I change the length of time before a call goes to voicemail? ': 0.02097}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1544815672/Can-I-get-Visual-Voicemail.htm
Could I activate Visual Voicemail,Can I get Visual Voicemail?,How do I check my voicemail? ,Y,"{'How do I check my voicemail? ': 0.05164, 'Can I get Visual Voicemail? ': 0.0426, 'Can I recover a deleted voicemail? ': 0.02123}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1544815672/Can-I-get-Visual-Voicemail.htm
